,0
SALM,broadcasting
SBGI,broadcasting
SIRI,broadcasting
SSP,broadcasting
TGNA,broadcasting
UONE,broadcasting
AEHL,building-products
ALLE,building-products
AMWD,building-products
AOS,building-products
AWI,building-products
AZEK,building-products
BLD,building-products
BLDR,building-products
CNR,building-products
CSL,building-products
DOOR,building-products
FBHS,building-products
FGI,building-products
GFF,building-products
LII,building-products
MAS,building-products
NX,building-products
OTIS,building-products
SSD,building-products
TGLS,building-products
TILE,building-products
WSO,building-products
WSO.,building-products
AMCX,cable-satellite-tv
CABO,cable-satellite-tv
CHTR,cable-satellite-tv
CMCS,cable-satellite-tv
DIS,cable-satellite-tv
DISH,cable-satellite-tv
LBTY,cable-satellite-tv
LILA,cable-satellite-tv
WBD,cable-satellite-tv
BALY,casinos-gaming
BYD,casinos-gaming
CHDN,casinos-gaming
CNTY,casinos-gaming
CPHC,casinos-gaming
CZR,casinos-gaming
ELYS,casinos-gaming
EVRI,casinos-gaming
FLL,casinos-gaming
GDEN,casinos-gaming
GRVY,casinos-gaming
IGT,casinos-gaming
LNW,casinos-gaming
LVS,casinos-gaming
MGM,casinos-gaming
MLCO,casinos-gaming
MSC,casinos-gaming
PENN,casinos-gaming
RSI,casinos-gaming
WYNN,casinos-gaming
BIOX,chemicals-agricultural
CF,chemicals-agricultural
CTVA,chemicals-agricultural
FMC,chemicals-agricultural
ICL,chemicals-agricultural
LAC,chemicals-agricultural
LITM,chemicals-agricultural
LXU,chemicals-agricultural
MBII,chemicals-agricultural
MOS,chemicals-agricultural
NTR,chemicals-agricultural
PLL,chemicals-agricultural
RKDA,chemicals-agricultural
SLI,chemicals-agricultural
SMG,chemicals-agricultural
SQM,chemicals-agricultural
UAN,chemicals-agricultural
YTEN,chemicals-agricultural
BLFS,chemicals-major-diversified
CE,chemicals-major-diversified
DD,chemicals-major-diversified
EMN,chemicals-major-diversified
ESI,chemicals-major-diversified
FTEK,chemicals-major-diversified
HUN,chemicals-major-diversified
LFMD,chemicals-major-diversified
NGVT,chemicals-major-diversified
VVV,chemicals-major-diversified
ALB,chemicals-specialty
ALTO,chemicals-specialty
AMRS,chemicals-specialty
AMTX,chemicals-specialty
APD,chemicals-specialty
ASH,chemicals-specialty
ASIX,chemicals-specialty
AVTR,chemicals-specialty
BAK,chemicals-specialty
