,Symbol,Company,Owner,Relationship,Date,Cost,# Shares,Value($),Total Shares,Filing,Type
30,SBFG,"SB FINANCIAL GROUP, INC.",HARDGROVE RICHARD L,Director,"Jun 27, 2022",$17.32,533,9229,18089,"Jun 29, 2022, 10:07 AM",sell
31,RACB,Research Alliance Corp. II,"Saba Capital Management, L.P.",10% Owner,"Jun 28, 2022",$9.80,40990,401702,1909584,"Jun 29, 2022, 09:29 AM",sell
32,VZIO,Vizio Holding Corp.,AmTRAN Technology Co. Ltd.,10% Owner,"Jun 28, 2022",$8.08,38790,313423,13147087,"Jun 29, 2022, 07:59 AM",sell
33,RH,RH,Krane Hilary K,Director,"Jun 27, 2022",$270.50,138,37329,6702,"Jun 28, 2022, 09:45 PM",sell
34,PD,"PagerDuty, Inc.",Tejada Jennifer,Chief Executive Officer,"Jun 24, 2022",$28.14,75000,2110815,37952,"Jun 28, 2022, 09:27 PM",sell
35,VLDR,"Velodyne Lidar, Inc.",Hall David S.,Affiliate,"Jun 28, 2022",$1.14,750000,857250,5760160,"Jun 28, 2022, 08:12 PM",sell
36,VLDR,"Velodyne Lidar, Inc.",Hall David S.,Affiliate,"Jun 27, 2022",$1.17,462806,539586,6510160,"Jun 28, 2022, 08:12 PM",sell
37,SWAV,"Shockwave Medical, Inc.",Zacharias Isaac,"President, CCO","Jun 27, 2022",$198.00,4000,792000,78563,"Jun 28, 2022, 08:01 PM",sell
38,BLFS,BIOLIFE SOLUTIONS INC,Wichterman Troy,Chief Financial Officer,"Jun 24, 2022",$15.95,456,7273,44799,"Jun 28, 2022, 08:00 PM",sell
39,ZEN,"Zendesk, Inc.",Gennaro Norman,President of Sales,"Jun 24, 2022",$75.50,7000,528500,29813,"Jun 28, 2022, 07:55 PM",sell
40,OCX,Oncocyte Corp,"PURA VIDA INVESTMENTS, LLC",10% Owner,"Jun 24, 2022",$1.03,52981,54713,8520146,"Jun 28, 2022, 07:48 PM",sell
41,OCX,Oncocyte Corp,"PURA VIDA INVESTMENTS, LLC",10% Owner,"Jun 24, 2022",$1.03,46405,47922,7462643,"Jun 28, 2022, 07:48 PM",sell
42,CDMO,"Avid Bioservices, Inc.",Hancock Richard B,Director,"Jun 24, 2022",$16.02,2463,39454,40188,"Jun 28, 2022, 07:38 PM",sell
43,CDMO,"Avid Bioservices, Inc.",Hancock Richard B,Director,"Jun 27, 2022",$16.07,7537,121086,38936,"Jun 28, 2022, 07:38 PM",sell
44,CRM,"Salesforce, Inc.",Benioff Marc,Chairman and Co-CEO,"Jun 28, 2022",$175.40,2300,403413,28763062,"Jun 28, 2022, 07:22 PM",sell
