,Symbol,Company,Owner,Relationship,Date,Cost,# Shares,Value($),Total Shares,Filing,Type
102,FET,"FORUM ENERGY TECHNOLOGIES, INC.","SCF Partners, Inc.",Member of Group,"Apr 26, 2022",$21.74,3773,82043,65103,"Jun 28, 2022, 04:11 PM",sell
103,FET,"FORUM ENERGY TECHNOLOGIES, INC.","SCF Partners, Inc.",Member of Group,"May 02, 2022",$21.11,3000,63332,42890,"Jun 28, 2022, 04:11 PM",sell
104,FET,"FORUM ENERGY TECHNOLOGIES, INC.","SCF Partners, Inc.",Member of Group,"Apr 29, 2022",$21.29,1213,25819,49971,"Jun 28, 2022, 04:11 PM",sell
1,FET,"FORUM ENERGY TECHNOLOGIES, INC.","SCF Partners, Inc.",Member of Group,"May 02, 2022",$21.11,3000,63332,42890,"Jun 28, 2022, 04:11 PM",sell
2,FET,"FORUM ENERGY TECHNOLOGIES, INC.","SCF Partners, Inc.",Member of Group,"Apr 29, 2022",$21.29,1213,25819,49971,"Jun 28, 2022, 04:11 PM",sell
3,FET,"FORUM ENERGY TECHNOLOGIES, INC.","SCF Partners, Inc.",Member of Group,"Apr 26, 2022",$21.74,3773,82043,65103,"Jun 28, 2022, 04:11 PM",sell
4,FET,"FORUM ENERGY TECHNOLOGIES, INC.","SCF Partners, Inc.",Member of Group,"Apr 29, 2022",$21.18,1213,25692,45890,"Jun 28, 2022, 04:11 PM",sell
5,FET,"FORUM ENERGY TECHNOLOGIES, INC.","SCF Partners, Inc.",Member of Group,"Apr 28, 2022",$21.65,10000,216462,51184,"Jun 28, 2022, 04:11 PM",sell
6,FET,"FORUM ENERGY TECHNOLOGIES, INC.","SCF Partners, Inc.",Member of Group,"Apr 28, 2022",$21.68,10000,216830,47103,"Jun 28, 2022, 04:11 PM",sell
7,FET,"FORUM ENERGY TECHNOLOGIES, INC.","SCF Partners, Inc.",Member of Group,"Apr 27, 2022",$21.34,8000,170738,61184,"Jun 28, 2022, 04:11 PM",sell
8,FET,"FORUM ENERGY TECHNOLOGIES, INC.","SCF Partners, Inc.",Member of Group,"Apr 26, 2022",$21.65,3700,80093,69184,"Jun 28, 2022, 04:11 PM",sell
9,FET,"FORUM ENERGY TECHNOLOGIES, INC.","SCF Partners, Inc.",Member of Group,"May 02, 2022",$21.07,3000,63217,46971,"Jun 28, 2022, 04:11 PM",sell
10,FET,"FORUM ENERGY TECHNOLOGIES, INC.","SCF Partners, Inc.",Member of Group,"Apr 27, 2022",$21.34,8000,170710,57103,"Jun 28, 2022, 04:11 PM",sell
11,TDOC,"Teladoc Health, Inc.",Murthy Mala,CHIEF FINANCIAL OFFICER,"Jun 27, 2022",$37.32,4053,151242,27295,"Jun 28, 2022, 04:10 PM",sell
12,DBX,"DROPBOX, INC.",Young Timothy H.,President,"Jun 24, 2022",$22.29,15000,334358,1632257,"Jun 28, 2022, 04:10 PM",sell
13,CPB,CAMPBELL SOUP CO,Polomski Stanley,Senior VP and Controller,"Jun 27, 2022",$48.20,10335,498147,28176,"Jun 28, 2022, 04:10 PM",sell
14,BRZE,"Braze, Inc.",Hyman Jonathan,Chief Technology Officer,"Jun 27, 2022",$40.03,10000,400265,8800,"Jun 28, 2022, 04:09 PM",sell
15,BRZE,"Braze, Inc.",Hyman Jonathan,Chief Technology Officer,"Jun 24, 2022",$40.00,10000,400000,0,"Jun 28, 2022, 04:09 PM",sell
16,HSY,HERSHEY CO,Raup Charles R,"President, U.S.","Jun 27, 2022",$220.90,1512,334001,16737,"Jun 28, 2022, 04:07 PM",sell
17,AGL,"agilon health, inc.",Desai Veeral,Chief Strategy & Dev. Officer,"Jun 24, 2022",$22.50,106357,2393033,278211,"Jun 28, 2022, 04:07 PM",sell
18,SMTI,Sanara MedTech Inc.,Fleming Zachary B.,Chief Executive Officer,"Jun 24, 2022",$21.00,457,9597,39313,"Jun 28, 2022, 04:05 PM",sell
19,ALT,"Altimmune, Inc.",Jorkasky Diane,Director,"Jun 27, 2022",$11.75,17610,206944,0,"Jun 28, 2022, 04:05 PM",sell
20,VRTX,VERTEX PHARMACEUTICALS INC / MA,Kewalramani Reshma,CEO & President,"Jun 24, 2022",$291.30,11689,3405006,111153,"Jun 28, 2022, 04:05 PM",sell
21,ALBO,"ALBIREO PHARMA, INC.",Stephenson Pamela,Chief Commercial Officer,"Jun 27, 2022",$19.47,461,8976,45755,"Jun 28, 2022, 04:02 PM",sell
22,GPRO,"GoPro, Inc.",Jahnke Dean,"SVP, Global Sales, CM, RE","Jun 24, 2022",$6.12,14089,86246,248339,"Jun 28, 2022, 04:02 PM",sell
23,JSPR,"Jasper Therapeutics, Inc.",Lis William,Director,"Jun 27, 2022",$2.08,24743,51404,40486,"Jun 28, 2022, 04:01 PM",sell
24,JSPR,"Jasper Therapeutics, Inc.",Lis William,Director,"Jun 24, 2022",$2.02,24743,50030,65229,"Jun 28, 2022, 04:01 PM",sell
25,DNLI,Denali Therapeutics Inc.,Tessier-Lavigne Marc,Director,"Mar 23, 2022",$33.83,20000,676583,2035968,"Jun 28, 2022, 03:07 PM",sell
26,LLY,ELI LILLY & Co,LILLY ENDOWMENT INC,10% Owner,"Jun 27, 2022",$329.05,41857,13772837,104161953,"Jun 28, 2022, 01:54 PM",sell
27,SYBT,"Stock Yards Bancorp, Inc.",Poindexter Philip,President,"Jun 27, 2022",$59.18,3219,190490,41040,"Jun 28, 2022, 11:54 AM",sell
28,VZIO,Vizio Holding Corp.,AmTRAN Technology Co. Ltd.,10% Owner,"Jun 27, 2022",$8.08,70000,565600,13185877,"Jun 28, 2022, 11:36 AM",sell
29,VIVO,MERIDIAN BIOSCIENCE INC,Kenny John P.,Chief Executive Officer,"Jun 27, 2022",$30.39,61437,1866788,265131,"Jun 28, 2022, 09:42 AM",sell
30,VIVO,MERIDIAN BIOSCIENCE INC,Kenny John P.,Chief Executive Officer,"Jun 24, 2022",$30.00,13559,406836,265131,"Jun 28, 2022, 09:42 AM",sell
31,SLDP,"Solid Power, Inc.","Volta Energy Technologies, LLC",10% Owner,"Jun 24, 2022",$6.25,33824,211403,3137745,"Jun 28, 2022, 09:00 AM",sell
32,SLDP,"Solid Power, Inc.","Volta Energy Technologies, LLC",10% Owner,"Jun 24, 2022",$6.25,187402,1171281,2246794,"Jun 28, 2022, 09:00 AM",sell
33,SLDP,"Solid Power, Inc.","Volta Energy Technologies, LLC",10% Owner,"Jun 24, 2022",$6.25,235853,1474105,12015268,"Jun 28, 2022, 09:00 AM",sell
34,BMEA,"Biomea Fusion, Inc.","A2A Pharmaceuticals, Inc.",10% Owner,"Jun 24, 2022",$11.76,34658,407578,4365342,"Jun 28, 2022, 07:51 AM",sell
35,PNRG,PRIMEENERGY RESOURCES CORP,DE ROTHSCHILD ROBERT,10% Owner,"Jun 23, 2022",$77.93,1721,134120,385216,"Jun 27, 2022, 09:33 PM",sell
36,PNRG,PRIMEENERGY RESOURCES CORP,DE ROTHSCHILD ROBERT,10% Owner,"Jun 27, 2022",$76.02,1558,118439,382058,"Jun 27, 2022, 09:33 PM",sell
37,MNRL,"Brigham Minerals, Inc.","PBRA, LLC",Director,"Jun 23, 2022",$25.21,3803,95886,0,"Jun 27, 2022, 09:02 PM",sell
38,MNRL,"Brigham Minerals, Inc.","PBRA, LLC",Director,"Jun 23, 2022",$25.21,23638,595992,0,"Jun 27, 2022, 09:02 PM",sell
39,MNRL,"Brigham Minerals, Inc.","PBRA, LLC",Director,"Jun 23, 2022",$25.21,14062,354549,0,"Jun 27, 2022, 09:02 PM",sell
40,ADAP,Adaptimmune Therapeutics PLC,Rawcliffe Adrian,Chief Executive Officer,"Jun 27, 2022",$1.63,2562,4176,3290,"Jun 27, 2022, 09:01 PM",sell
41,TOST,"Toast, Inc.","Technology Investment Dining Group, LLC",10% Owner,"Jun 27, 2022",$14.72,341156,5021816,8618317,"Jun 27, 2022, 08:00 PM",sell
42,TOST,"Toast, Inc.","Technology Investment Dining Group, LLC",10% Owner,"Jun 24, 2022",$15.02,1500000,22530001,8959473,"Jun 27, 2022, 08:00 PM",sell
43,TOST,"Toast, Inc.","Technology Investment Dining Group, LLC",10% Owner,"Jun 23, 2022",$14.81,548352,8119303,10722787,"Jun 27, 2022, 08:00 PM",sell
44,TMDX,"TransMedics Group, Inc.",Carey John F,VP of Operations,"Jun 27, 2022",$32.59,3320,108199,379,"Jun 27, 2022, 07:59 PM",sell
45,TMDX,"TransMedics Group, Inc.",Carey John F,VP of Operations,"Jun 24, 2022",$32.57,2956,96277,379,"Jun 27, 2022, 07:59 PM",sell
46,HYMC,HYCROFT MINING HOLDING CORP,Sprott Eric,10% Owner,"Jun 24, 2022",$1.27,5000000,6375000,18408240,"Jun 27, 2022, 07:42 PM",sell
47,DUOL,"Duolingo, Inc.",Hacker Severin,"Chief Tech Officer, Co-Founder","Jun 23, 2022",$98.39,20000,1967803,19600,"Jun 27, 2022, 07:13 PM",sell
48,DUOL,"Duolingo, Inc.",Chen Stephen C.,General Counsel,"Jun 24, 2022",$103.52,25358,2625109,46394,"Jun 27, 2022, 07:11 PM",sell
49,ROIV,Roivant Sciences Ltd.,Kumar Rakhi,Chief Accounting Officer,"Jun 23, 2022",$4.34,1635,7096,146021,"Jun 27, 2022, 07:00 PM",sell
50,ROIV,Roivant Sciences Ltd.,Gline Matthew,CEO,"Jun 23, 2022",$4.34,19855,86171,1244802,"Jun 27, 2022, 07:00 PM",sell
51,ROIV,Roivant Sciences Ltd.,Venker Eric,President & COO,"Jun 23, 2022",$4.34,16402,71185,1116590,"Jun 27, 2022, 07:00 PM",sell
52,GULTU,Gulf Coast Ultra Deep Royalty Trust,SUBIN NEIL S,10% Owner,"Jun 23, 2022",$0.05,7637,384,2269223,"Jun 27, 2022, 06:20 PM",sell
53,GULTU,Gulf Coast Ultra Deep Royalty Trust,SUBIN NEIL S,10% Owner,"Jun 23, 2022",$0.05,852,43,253123,"Jun 27, 2022, 06:20 PM",sell
54,GULTU,Gulf Coast Ultra Deep Royalty Trust,SUBIN NEIL S,10% Owner,"Jun 24, 2022",$0.05,25,1,33711357,"Jun 27, 2022, 06:20 PM",sell
55,GULTU,Gulf Coast Ultra Deep Royalty Trust,SUBIN NEIL S,10% Owner,"Jun 23, 2022",$0.05,12065,607,3584804,"Jun 27, 2022, 06:20 PM",sell
56,GULTU,Gulf Coast Ultra Deep Royalty Trust,SUBIN NEIL S,10% Owner,"Jun 23, 2022",$0.05,2629,132,781217,"Jun 27, 2022, 06:20 PM",sell
57,GULTU,Gulf Coast Ultra Deep Royalty Trust,SUBIN NEIL S,10% Owner,"Jun 23, 2022",$0.05,597,30,177434,"Jun 27, 2022, 06:20 PM",sell
58,GULTU,Gulf Coast Ultra Deep Royalty Trust,SUBIN NEIL S,10% Owner,"Jun 23, 2022",$0.05,113460,5707,33711382,"Jun 27, 2022, 06:20 PM",sell
59,GULTU,Gulf Coast Ultra Deep Royalty Trust,SUBIN NEIL S,10% Owner,"Jun 23, 2022",$0.05,2629,132,781217,"Jun 27, 2022, 06:20 PM",sell
60,GULTU,Gulf Coast Ultra Deep Royalty Trust,SUBIN NEIL S,10% Owner,"Jun 23, 2022",$0.05,751,38,223186,"Jun 27, 2022, 06:20 PM",sell
61,GULTU,Gulf Coast Ultra Deep Royalty Trust,SUBIN NEIL S,10% Owner,"Jun 23, 2022",$0.05,5259,265,1562434,"Jun 27, 2022, 06:20 PM",sell
62,GULTU,Gulf Coast Ultra Deep Royalty Trust,SUBIN NEIL S,10% Owner,"Jun 23, 2022",$0.05,851,43,252884,"Jun 27, 2022, 06:20 PM",sell
63,VEEV,VEEVA SYSTEMS INC,Cabral Timothy S,Director,"Jun 23, 2022",$200.03,5000,1000151,113114,"Jun 27, 2022, 06:18 PM",sell
64,ENPH,"Enphase Energy, Inc.",Kothandaraman Badrinarayanan,President & CEO,"Jun 23, 2022",$200.00,38650,7730000,1059051,"Jun 27, 2022, 06:09 PM",sell
65,DG,DOLLAR GENERAL CORP,ELLIOTT ANITA C,SVP & Chief Accounting Officer,"Jun 24, 2022",$247.11,5000,1235562,16279,"Jun 27, 2022, 05:57 PM",sell
66,PRT,PermRock Royalty Trust,"Boaz Energy II, LLC",10% Owner,"Jun 27, 2022",$8.25,5000,41272,5756675,"Jun 27, 2022, 05:43 PM",sell
67,MATX,"Matson, Inc.",Kinney Richard S,Senior Vice President,"Jun 24, 2022",$72.51,470,34080,9310,"Jun 27, 2022, 05:27 PM",sell
68,TYME,"TYME TECHNOLOGIES, INC.",Demurjian Michael,10% Owner,"Jun 27, 2022",$0.26,60000,15732,23108846,"Jun 27, 2022, 05:23 PM",sell
69,IBKR,"Interactive Brokers Group, Inc.",Peterffy Thomas,Chairman,"Jun 24, 2022",$57.66,20000,1153200,2067511,"Jun 27, 2022, 05:23 PM",sell
70,IBKR,"Interactive Brokers Group, Inc.",Peterffy Thomas,Chairman,"Jun 23, 2022",$56.80,20000,1135928,2094711,"Jun 27, 2022, 05:23 PM",sell
71,FLYW,Flywire Corp,Riese Phillip John,Director,"Jun 23, 2022",$18.78,5000,93911,19137,"Jun 27, 2022, 05:12 PM",sell
72,MRNA,"Moderna, Inc.",Hoge Stephen,President,"Jun 24, 2022",$143.98,5000,719900,1624231,"Jun 27, 2022, 05:11 PM",sell
73,MRNA,"Moderna, Inc.",Hoge Stephen,President,"Jun 23, 2022",$135.96,5000,679800,1624231,"Jun 27, 2022, 05:11 PM",sell
74,GMGI,"Golden Matrix Group, Inc.",MCCHESNEY THOMAS,Director,"Jun 23, 2022",$4.80,3870,18576,166397,"Jun 27, 2022, 05:08 PM",sell
75,Z AND ZG,"ZILLOW GROUP, INC.",Wacksman Jeremy,Chief Operating Officer,"Jun 24, 2022",$35.00,4785,167475,43132,"Jun 27, 2022, 05:07 PM",sell
76,MASS,908 Devices Inc.,Griffith Joseph H. IV,Chief Financial Officer,"Jun 27, 2022",$19.08,5059,96526,91580,"Jun 27, 2022, 05:00 PM",sell
77,MASS,908 Devices Inc.,Griffith Joseph H. IV,Chief Financial Officer,"Jun 24, 2022",$19.13,13129,251158,91580,"Jun 27, 2022, 05:00 PM",sell
78,MASS,908 Devices Inc.,Turner Michael S.,"VP, General Counsel","Jun 23, 2022",$17.90,10000,179000,5000,"Jun 27, 2022, 05:00 PM",sell
79,CXM,"Sprinklr, Inc.",Singh Pavitar,Chief Technology Officer,"Jun 24, 2022",$11.52,25000,288000,269738,"Jun 27, 2022, 04:57 PM",sell
80,JBL,JABIL INC,Creadon Gerald,"SVP, Operations","Jun 24, 2022",$54.76,3703,202775,46166,"Jun 27, 2022, 04:50 PM",sell
81,TTMI,TTM TECHNOLOGIES INC,SANCHEZ TONY,"VP, Corporate Controller","Jun 23, 2022",$12.13,4832,58608,21749,"Jun 27, 2022, 04:48 PM",sell
82,TTMI,TTM TECHNOLOGIES INC,Titterton Philip,EVP & COO,"Jun 23, 2022",$12.13,12990,157545,87196,"Jun 27, 2022, 04:47 PM",sell
83,DXCM,DEXCOM INC,Pacelli Steven Robert,EVP Managing Director Dexcom V,"Jun 23, 2022",$72.55,1000,72550,139700,"Jun 27, 2022, 04:46 PM",sell
84,PARR,"PAR PACIFIC HOLDINGS, INC.",CHAI TRUST CO LLC,10% Owner,"Jun 23, 2022",$15.59,50000,779656,2678464,"Jun 27, 2022, 04:35 PM",sell
85,PARR,"PAR PACIFIC HOLDINGS, INC.",CHAI TRUST CO LLC,10% Owner,"Jun 24, 2022",$15.76,50000,787785,2627351,"Jun 27, 2022, 04:35 PM",sell
86,IMKTA,INGLES MARKETS INC,Ingle Sharp Laura,Director,"Jun 24, 2022",$88.10,500,44050,5500,"Jun 27, 2022, 04:31 PM",sell
87,UNH,UNITEDHEALTH GROUP INC,McSweeney Erin,EVP Chief People Officer,"Jun 23, 2022",$499.00,1273,635227,8104,"Jun 27, 2022, 04:30 PM",sell
88,UNH,UNITEDHEALTH GROUP INC,McSweeney Erin,EVP Chief People Officer,"Jun 24, 2022",$492.75,1,493,8103,"Jun 27, 2022, 04:30 PM",sell
89,BSX,BOSTON SCIENTIFIC CORP,Carruthers Wendy,"EVP, Human Resources","Jun 24, 2022",$38.00,7500,285000,132413,"Jun 27, 2022, 04:27 PM",sell
90,ONTF,ON24 INC.,Vattuone Steven,Chief Financial Officer,"Jun 24, 2022",$12.04,1262,15191,226176,"Jun 27, 2022, 04:26 PM",sell
91,ONTF,ON24 INC.,Vattuone Steven,Chief Financial Officer,"Jun 23, 2022",$12.02,2892,34760,227438,"Jun 27, 2022, 04:26 PM",sell
92,INTU,INTUIT INC,Vazquez Raul,Director,"Jun 23, 2022",$390.36,1790,698753,2019,"Jun 27, 2022, 04:23 PM",sell
93,INTU,INTUIT INC,FENNELL LAURA A,"EVP, People and Places","Jun 23, 2022",$392.39,10000,3923882,32957,"Jun 27, 2022, 04:22 PM",sell
94,HP,"Helmerich & Payne, Inc.",Adams Raymond John III,"SVP SALES, MARKETING & DIGITAL","Jun 24, 2022",$40.00,1500,60000,54399,"Jun 27, 2022, 04:19 PM",sell
95,FDS,FACTSET RESEARCH SYSTEMS INC,ZIMMEL JOSEPH,Director,"Jun 24, 2022",$390.62,1000,390620,1542,"Jun 27, 2022, 04:16 PM",sell
96,PD,"PagerDuty, Inc.",Justice Dave,Chief Revenue Officer,"Jun 24, 2022",$27.88,1406,39198,449940,"Jun 27, 2022, 04:09 PM",sell
97,PD,"PagerDuty, Inc.",Justice Dave,Chief Revenue Officer,"Jun 23, 2022",$26.61,1406,37413,452552,"Jun 27, 2022, 04:09 PM",sell
98,AMED,AMEDISYS INC,Bohnert Denise M.,Chief Compliance Officer,"Jun 23, 2022",$115.00,557,64055,11850,"Jun 27, 2022, 04:08 PM",sell
99,EXTR,EXTREME NETWORKS INC,Thomas Remi,EVP Chief Financial Officer,"Jun 23, 2022",$8.75,10000,87500,104454,"Jun 27, 2022, 04:07 PM",sell
100,PKI,PERKINELMER INC,Mock James M,Please See Remarks,"Jun 24, 2022",$145.49,5025,731092,30530,"Jun 27, 2022, 04:05 PM",sell
101,GOEV,Canoo Inc.,Ruiz Hector M.,"GENERAL COUNSEL, CORP SECY","Jun 23, 2022",$2.36,4063,9589,273746,"Jun 27, 2022, 04:03 PM",sell
102,LAMR,LAMAR ADVERTISING CO/NEW,REILLY ANNA,Director,"Jun 23, 2022",$90.17,10000,901666,145928,"Jun 27, 2022, 04:02 PM",sell
103,GOEV,Canoo Inc.,MURTHY RAMESH,"SVP, ICFO and CAO","Jun 23, 2022",$2.36,749,1768,281170,"Jun 27, 2022, 04:02 PM",sell
104,FULO,FULLNET COMMUNICATIONS INC,KILKENNY TIMOTHY J,Chairman of the Board,"Jun 23, 2022",$0.29,30433,8916,3636389,"Jun 27, 2022, 03:42 PM",sell
105,OPOF,OLD POINT FINANCIAL CORP,Friedman Martin S.,10% Owner,"Jun 23, 2022",$24.80,15000,372000,497121,"Jun 27, 2022, 02:21 PM",sell
106,LLY,ELI LILLY & Co,LILLY ENDOWMENT INC,10% Owner,"Jun 24, 2022",$324.31,215000,69726324,104404011,"Jun 27, 2022, 01:45 PM",sell
